date,code site,NO2,PM10,PM2.5,Latitude,Longitude,meteo_index,distance_meteo,station,temperature,Humidité,wind,rain
2026-03-15 00:00:00,FR82006,17.7,17.3,7.6,47.2474,6.015419,47671,0.02663410212490766,BESANCON,11.0,83.0,6.2,0.0
2026-03-15 00:00:00,FR82010,12.6,9.7,9.0,47.510307,6.794,9511,0.09202417943128102,DORANS,7.700000000000045,86.0,5.5,1.6
2026-03-15 00:00:00,FR82021,9.3,6.8,11.3,47.630756,6.858944,9511,0.04482732489229964,DORANS,7.700000000000045,86.0,5.5,1.6
2026-03-15 00:00:00,FR82040,7.0,7.3,6.5,47.09672,5.496389,84418,0.08698141126125625,TAVAUX SA,-0.8999999999999773,100.0,2.1,0.0
2026-03-15 00:00:00,FR82060,10.4,12.9,12.6,47.62002,6.157642,25279,0.2653244219460406,LUXEUIL,5.7000000000000455,86.0,2.2,0.0
2026-03-15 00:00:00,FR82070,6.3,12.7,16.1,47.351288,6.359722,47671,0.38473560436356663,BESANCON,11.0,83.0,6.2,0.0
2026-03-15 00:00:00,FR42010,17.6,5.5,4.3,48.572807,7.767833,84811,0.1296127549626189,STRASBOURG-ENTZHEIM,10.400000000000034,57.0,8.2,0.0
2026-03-15 00:00:00,FR50060,9.9,5.6,4.0,44.012856,1.3753052,77891,0.015205105564907524,MONTAUBAN,10.600000000000025,93.0,0.7,0.0
2026-03-15 00:00:00,FR50225,4.3,5.7,1.2,43.611607,3.827868,96334,0.14131510889144183,MONTPELLIER-AEROPORT,12.800000000000011,29.0,13.7,0.0
2026-03-15 00:00:00,FR34046,15.8,12.8,10.7,48.729694,1.358472,3397,0.3046756843940773,CHARTRES,-2.099999999999966,84.0,1.2,0.0
2026-03-15 00:00:00,FR20077,11.9,5.4,5.0,45.990112,4.715566,3019,0.31441420901892697,MACON,2.800000000000012,64.0,2.8,0.0
2026-03-15 00:00:00,FR34029,9.4,8.3,6.6,47.83775,1.944667,72921,0.22606604983721157,ORLEANS,9.700000000000044,84.0,2.0,0.0
2026-03-15 00:00:00,FR31017,8.0,13.3,4.9,43.49404,-1.528753,91118,0.025329276519473823,BIARRITZ-PAYS-BASQUE,10.800000000000011,87.0,3.5,0.0
2026-03-15 00:00:00,FR31033,5.8,5.1,3.9,45.189823,0.727184,80303,0.4194014334608261,BERGERAC,13.200000000000044,58.0,1.0,0.0
2026-03-15 00:00:00,FR31040,6.5,17.6,9.9,44.50878,0.142695,80303,0.49411554680357994,BERGERAC,13.200000000000044,58.0,1.0,0.0
2026-03-15 00:00:00,FR31043,4.4,9.7,3.3,43.470238,-1.553876,91118,0.019563943211939893,BIARRITZ-PAYS-BASQUE,10.800000000000011,87.0,3.5,0.0
2026-03-15 00:00:00,FR31045,20.9,10.2,8.2,44.833824,-0.598525,73669,0.09286167946467483,BORDEAUX-MERIGNAC,17.100000000000023,59.0,4.3,0.0
2026-03-15 00:00:00,FR31055,6.9,13.9,10.4,43.888973,-0.507028,49101,0.021959347007594693,MONT-DE-MARSAN,10.900000000000034,81.0,2.6,0.0
2026-03-15 00:00:00,FR32002,9.0,13.8,6.9,46.821056,4.835083,89640,0.5135613402788456,DIJON-LONGVIC,11.700000000000044,40.0,2.1,0.0
2026-03-15 00:00:00,FR32005,5.8,9.9,10.7,46.678783,4.366893,59883,0.4426267693542748,ST YAN,12.0,71.0,3.7,0.0
2026-03-15 00:00:00,FR33121,3.9,3.7,3.3,45.675,6.389722,6997,0.37877510769584594,BOURG ST MAURICE,-7.0,69.0,0.5,0.0
2026-03-15 00:00:00,FR33201,3.9,4.8,0.0,45.89528,6.118333,95735,0.04091026347996464,MEYTHET,1.900000000000034,88.0,3.5,0.2
2026-03-15 00:00:00,FR33211,3.7,1.7,1.4,46.19583,6.240556,95735,0.30515920878288966,MEYTHET,1.900000000000034,88.0,3.5,0.2
2026-03-15 00:00:00,FR33220,3.1,16.6,8.2,45.92361,6.713611,6997,0.3148933573973841,BOURG ST MAURICE,-7.0,69.0,0.5,0.0
2026-03-15 00:00:00,FR33302,0.0,3.1,2.5,46.072224,5.820833,95735,0.30882459283224023,MEYTHET,1.900000000000034,88.0,3.5,0.2
2026-03-15 00:00:00,FR33305,1.5,4.8,4.3,46.211666,5.226389,24878,0.256710955535598,AMBERIEU,8.700000000000045,93.0,3.3,0.0
2026-03-15 00:00:00,FR34024,15.6,9.9,7.7,47.34414,0.653778,90346,0.12442856434516547,TOURS,11.0,69.0,3.2,0.0
2026-03-15 00:00:00,FR34025,6.3,8.8,8.0,47.419083,0.682944,90346,0.051150828048037174,TOURS,11.0,69.0,3.2,0.0
2026-03-15 00:00:00,FR34028,20.9,9.1,6.3,47.394638,0.704861,90346,0.05469195396033811,TOURS,11.0,69.0,3.2,0.0
2026-03-15 00:00:00,FR31002,13.7,12.1,6.8,44.80046,-0.589398,73669,0.10631654186437701,BORDEAUX-MERIGNAC,17.100000000000023,59.0,4.3,0.0
2026-03-15 00:00:00,FR31007,6.7,9.1,5.6,44.900295,-0.515835,73669,0.18880573716918722,BORDEAUX-MERIGNAC,17.100000000000023,59.0,4.3,0.0
2026-03-15 00:00:00,FR21031,15.2,10.4,8.9,48.445553,0.110833,69908,0.0006681055305858297,ALENCON,9.700000000000044,84.0,0.8,0.0
2026-03-15 00:00:00,FR20062,3.2,3.1,2.6,45.757732,4.854214,79016,0.10169050796411508,LYON-BRON,12.300000000000011,78.0,7.1,0.0
2026-03-15 00:00:00,FR30033,2.0,6.4,6.5,49.06583,5.785556,64482,0.4657140306346806,AEROPORT METZ-NANCY-LORRAINE,18.200000000000045,63.0,5.7,0.0
2026-03-15 00:00:00,FR20017,3.9,2.9,1.9,45.73529,4.829794,79016,0.12018615135696804,LYON-BRON,12.300000000000011,78.0,7.1,0.0
2026-03-15 00:00:00,FR05089,12.8,23.6,11.6,49.500187,0.110903,27638,0.03803572879544035,OCTEVILLE,7.400000000000034,86.0,4.4,0.0
2026-03-15 00:00:00,FR05090,11.1,8.0,4.2,49.514687,0.100645,27638,0.020395353711077636,OCTEVILLE,7.400000000000034,86.0,4.4,0.0
